idx	token	length	freq	H1_local_bits	n_rules	rule_ids	family_signature	best_pmi_partner
5528	keolchey	8	1	14.857592	1	chargram:ke:left	chargram:ke:left	
5529	chokchol	8	3	13.272630	0			
5530	chokan	6	2	13.857592	0			
5531	qotcho	6	6	12.272630	0			
5532	chodr	5	2	13.857592	0			
5533	cho	3	48	9.272630	0			
5534	choshy	6	3	13.272630	0			
5535	chs	3	13	11.157153	0			
5536	oriin	5	1	14.857592	0			
5537	f	1	6	12.272630	0			
5538	kshor	5	1	14.857592	0			
5539	shol	4	135	7.780777	0			
5540	cphokchol	9	1	14.857592	0			
5541	chcfhhy	7	3	13.272630	0			
5542	o	1	60	8.950702	0			
5543	qokchy	6	49	9.242882	1	chargram:qok:left	chargram:qok:left	
5544	qokchod	7	2	13.857592	1	chargram:qok:left	chargram:qok:left	
5545	sho	3	84	8.465275	0			
5546	cthy	4	79	8.553812	0			
5547	r	1	67	8.791503	0			
5548	chotchy	7	11	11.398161	0			
5549	chcthy	6	66	8.813198	0			
5550	cthy	4	79	8.553812	0			
5551	koddy	5	1	14.857592	0			
5552	y	1	113	8.037413	0			
5553	okeod	5	5	12.535664	2	chargram:ok:left,chargram:oke:left	chargram:ok:left-chargram:oke:left	
5554	sho	3	84	8.465275	0			
5555	chotshol	8	2	13.857592	0			
5556	dam	3	82	8.500040	0			
5557	e	1	3	13.272630	0			
5558	shol	4	135	7.780777	0			
5559	shodaiin	8	20	10.535664	0			
5560	qotchar	7	3	13.272630	0			
5561	qotchy	6	41	9.500040	0			
5562	chokchy	7	12	11.272630	0			
5563	choky	5	33	9.813198	0			
5564	k	1	6	12.272630	0			
5565	chotchy	7	11	11.398161	0			
5566	chodaiin	8	29	9.999611	0			
5567	dan	3	15	10.950702	0			
5568	s	1	168	7.465275	0			
5569	qoteees	7	2	13.857592	0			
5570	cheo	4	45	9.365739	1	chargram:che:left	chargram:che:left	
5571	daiin	5	621	5.579143	0			
5572	dol	3	89	8.381859	0			
