tok_id	token	prefix	stem	suffix
18731	yty		yty	
18732	sheody		sheody	
18733	qotol		qotol	
18734	chead		chead	
18735	chey		chey	
18736	dal		dal	
18737	ykocfhy		ykocfhy	
18738	saldam		saldam	
18739	sydarary		sydarary	
18740	ydcphdy		ydcphdy	
18741	odory		odory	
18742	doly		doly	
18743	opchosam		opchosam	
18744	saloiin		saloiin	
18745	sheol		sheol	
18746	opcheor		opcheor	
18747	qokcheody		qokcheody	
18748	cheodal		cheodal	
18749	dair		dair	
18750	cholkeedy		cholkeedy	
18751	qokedy		qokedy	
18752	cheyd		cheyd	
18753	cheo		cheo	
18754	dal		dal	
18755	qoair		qoair	
18756	shey		shey	
18757	cphoeedol		cphoeedol	
18758	deey		deey	
18759	qockhey		qockhey	
18760	choldy		choldy	
18761	daim		daim	
18762	chos		chos	
18763	aiin		aiin	
18764	cheodal		cheodal	
18765	daiin		daiin	
18766	chy		chy	
18767	chedain		chedain	
18768	dolchsyckheol		dolchsyckheol	
18769	daiin		daiin	
18770	choy		choy	
18771	cheedy		cheedy	
18772	tchodol		tchodol	
18773	chor		chor	
18774	choldy		choldy	
18775	chos		chos	
18776	dol		dol	
18777	okcheeg		okcheeg	
18778	otoldy		otoldy	
18779	okol		okol	
18780	shol		shol	
18781	dy		dy	
18782	opcharoiin		opcharoiin	
18783	otolfcho		otolfcho	
18784	dar		dar	
18785	cho		cho	
18786	lkeopol		lkeopol	
18787	oeeor		oeeor	
18788	or		or	
18789	okeeol		okeeol	
18790	qoor		qoor	
18791	ol		ol	
18792	chor		chor	
18793	cheky		cheky	
18794	shol		shol	
18795	daiiin		daiiin	
18796	chol		chol	
18797	cheol		cheol	
18798	kol		kol	
18799	dam		dam	
18800	olcheol		olcheol	
18801	dol		dol	
18802	cheol		cheol	
18803	tos		tos	
18804	ol		ol	
18805	chor		chor	
18806	ydaiin		ydaiin	
18807	chey		chey	
18808	s		s	
18809	oiiin		oiiin	
18810	chckhy		chckhy	
18811	qokeol		qokeol	
18812	okey		okey	
18813	okeey		okeey	
18814	keey		keey	
18815	coeky		coeky	
18816	qokol		qokol	
18817	okeey		okeey	
18818	dal		dal	
18819	cheeody		cheeody	
18820	ockhy		ockhy	
18821	korain		korain	
18822	y		y	
18823	sodar		sodar	
18824	cheys		cheys	
18825	cheody		cheody	
18826	oforain		oforain	
18827	okshd		okshd	
18828	chos		chos	
18829	qokol		qokol	
18830	chey		chey	
18831	oldy		oldy	
18832	sheodal		sheodal	
18833	ytoldy		ytoldy	
18834	okeeeo		okeeeo	
18835	ees		ees	
18836	cheey		cheey	
18837	ykeol		ykeol	
18838	cheo		cheo	
18839	cheky		cheky	
18840	qokeol		qokeol	
18841	cheey		cheey	
18842	qokeey		qokeey	
18843	saiin		saiin	
18844	oteos		oteos	
18845	ykeo		ykeo	
18846	qo		qo	
18847	qol		qol	
18848	cheo		cheo	
18849	loiiin		loiiin	
18850	daimom		daimom	
18851	okeey		okeey	
18852	keeokechy		keeokechy	
18853	cthey		cthey	
18854	daiin		daiin	
18855	dy		dy	
18856	o		o	
18857	cheol		cheol	
18858	soiiin		soiiin	
18859	dair		dair	
18860	chey		chey	
18861	daiin		daiin	
18862	okain		okain	
18863	yorain		yorain	
18864	ofakal		ofakal	
18865	otalsy		otalsy	
18866	ytarem		ytarem	
18867	otolarol		otolarol	
18868	choeesy		choeesy	
18869	okam		okam	
18870	darcheos		darcheos	
18871	chokaro		chokaro	
18872	sheol		sheol	
18873	chokam		chokam	
18874	kosar		kosar	
18875	sheol		sheol	
18876	s		s	
18877	aiin		aiin	
18878	koiin		koiin	
18879	chtodaiin		chtodaiin	
18880	pdan		pdan	
18881	choto		choto	
18882	qofoiin		qofoiin	
18883	dy		dy	
18884	qopdol		qopdol	
18885	doiir		doiir	
18886	ofaiin		ofaiin	
18887	ol		ol	
18888	cfheol		cfheol	
18889	dam		dam	
18890	oteee		oteee	
18891	eeckhy		eeckhy	
18892	s		s	
18893	aiin		aiin	
18894	ckhey		ckhey	
18895	otaiin		otaiin	
18896	okar		okar	
18897	dain		dain	
18898	okol		okol	
18899	al		al	
18900	chor		chor	
18901	dar		dar	
18902	chor		chor	
18903	chor		chor	
18904	cheos		cheos	
18905	qol		qol	
18906	eeeey		eeeey	
18907	dal		dal	
18908	chody		chody	
18909	cheor		cheor	
18910	chey		chey	
18911	qoaiin		qoaiin	
18912	chody		chody	
18913	okory		okory	
18914	otair		otair	
18915	chody		chody	
18916	dydariin		dydariin	
18917	opcheedoy		opcheedoy	
18918	chod		chod	
18919	s		s	
18920	kory		kory	
18921	ochar		ochar	
18922	eair		eair	
18923	sheotain		sheotain	
18924	ytodaiin		ytodaiin	
18925	dar		dar	
18926	s		s	
18927	ain		ain	
18928	ykeody		ykeody	
18929	dar		dar	
18930	okal		okal	
18931	dal		dal	
18932	doral		doral	
18933	dar		dar	
18934	am		am	
18935	dam		dam	
18936	yfor		yfor	
18937	opodaiin		opodaiin	
18938	dam		dam	
18939	sary		sary	
18940	qodam		qodam	
18941	yteos		yteos	
18942	aiin		aiin	
18943	dairy		dairy	
18944	sheos		sheos	
18945	psheoepoain		psheoepoain	
18946	dain		dain	
18947	qekor		qekor	
18948	ykeor		ykeor	
18949	otol		otol	
18950	sheey		sheey	
18951	daldaiin		daldaiin	
18952	daiir		daiir	
18953	odor		odor	
18954	sheos		sheos	
18955	aiin		aiin	
18956	daikeody		daikeody	
18957	qokorar		qokorar	
18958	sheody		sheody	
18959	qoko		qoko	
18960	ltcheody		ltcheody	
18961	otal		otal	
18962	cho		cho	
18963	daiin		daiin	
18964	odaiin		odaiin	
18965	ykeoda		ykeoda	
18966	okols		okols	
18967	sheey		sheey	
18968	keeody		keeody	
18969	daiin		daiin	
18970	qokos		qokos	
18971	okeom		okeom	
18972	opaloiiry		opaloiiry	
18973	otaram		otaram	
18974	chtody		chtody	
18975	dso		dso	
18976	rady		rady	
18977	dareky		dareky	
18978	okoraldy		okoraldy	
18979	otoikhy		otoikhy	
18980	otchar		otchar	
18981	darshody		darshody	
18982	koldal		koldal	
18983	sfal		sfal	
18984	cfhoy		cfhoy	
18985	ofcheol		ofcheol	
18986	opolsy		opolsy	
18987	daiin		daiin	
18988	qopol		qopol	
18989	oldaiin		oldaiin	
18990	octhody		octhody	
18991	dor		dor	
18992	sheey		sheey	
18993	qokol		qokol	
18994	cheol		cheol	
18995	cthody		cthody	
18996	qockhy		qockhy	
18997	dain		dain	
18998	yteey		yteey	
18999	otar		otar	
19000	cthol		cthol	
19001	qokey		qokey	
19002	daiin		daiin	
19003	cheey		cheey	
19004	cthody		cthody	
19005	qoor		qoor	
19006	sheor		sheor	
19007	sol		sol	
19008	chor		chor	
19009	cheor		cheor	
19010	ory		ory	
19011	shockhey		shockhey	
19012	orarol		orarol	
19013	cheoky		cheoky	
19014	qoy		qoy	
19015	chodair		chodair	
19016	choky		choky	
19017	daiin		daiin	
19018	otar		otar	
19019	okar		okar	
19020	tocheo		tocheo	
19021	cthor		cthor	
19022	okol		okol	
19023	chekaiin		chekaiin	
19024	os		os	
19025	aiin		aiin	
19026	ol		ol	
19027	cheokchey		cheokchey	
19028	qokoiiin		qokoiiin	
19029	dan		dan	
19030	tor		tor	
19031	sheor		sheor	
19032	cheor		cheor	
19033	cthey		cthey	
19034	qokol		qokol	
19035	daiin		daiin	
19036	chekal		chekal	
19037	dal		dal	
19038	s		s	
19039	chear		chear	
19040	qotam		qotam	
19041	osheokaiin		osheokaiin	
19042	sain		sain	
19043	ol		ol	
19044	shodain		shodain	
19045	qokar		qokar	
19046	ain		ain	
19047	chekal		chekal	
19048	daiin		daiin	
19049	dar		dar	
19050	tosheo		tosheo	
19051	fcheody		fcheody	
19052	shekey		shekey	
19053	orshos		orshos	
19054	oiir		oiir	
19055	cphey		cphey	
19056	qokeody		qokeody	
19057	cheody		cheody	
19058	dal		dal	
19059	dy		dy	
19060	ykeey		ykeey	
19061	ykeey		ykeey	
19062	odal		odal	
19063	shoky		shoky	
19064	okol		okol	
19065	chody		chody	
19066	okoaiin		okoaiin	
19067	dal		dal	
19068	chdy		chdy	
19069	dal		dal	
19070	daldy		daldy	
19071	dcheocy		dcheocy	
19072	daiin		daiin	
19073	cthol		cthol	
19074	daiin		daiin	
19075	daldy		daldy	
19076	okeor		okeor	
19077	ytey		ytey	
19078	keor		keor	
19079	cheyty		cheyty	
19080	ochy		ochy	
19081	qokaiin		qokaiin	
19082	ykchol		ykchol	
19083	qockhy		qockhy	
19084	okalda		okalda	
19085	otal		otal	
19086	dal		dal	
19087	chodar		chodar	
19088	okaiin		okaiin	
19089	dalg		dalg	
19090	sal		sal	
19091	shol		shol	
19092	ykol		ykol	
19093	dar		dar	
19094	am		am	
19095	shol		shol	
19096	ckhy		ckhy	
19097	dolchoy		dolchoy	
19098	dalshdy		dalshdy	
19099	okeol		okeol	
19100	dydchy		dydchy	
19101	qokol		qokol	
19102	cheol		cheol	
19103	qokol		qokol	
19104	dal		dal	
19105	chol		chol	
19106	dam		dam	
19107	qoeey		qoeey	
19108	saiin		saiin	
19109	ols		ols	
19110	chokaiin		chokaiin	
19111	sar		sar	
19112	a		a	
19113	daiin		daiin	
19114	ckhey		ckhey	
19115	qotchy		qotchy	
19116	okol		okol	
19117	ycheo		ycheo	
19118	cthody		cthody	
19119	okol		okol	
19120	olkeeycthy		olkeeycthy	
19121	koeeorain		koeeorain	
19122	otor		otor	
19123	chos		chos	
19124	opol		opol	
19125	olaiin		olaiin	
19126	opal		opal	
19127	daiin		daiin	
19128	poleeol		poleeol	
19129	qokeol		qokeol	
19130	qokchod		qokchod	
19131	chody		chody	
19132	cthom		cthom	
19133	yshol		yshol	
19134	tor		tor	
19135	sheor		sheor	
19136	qotchor		qotchor	
19137	qoky		qoky	
19138	darala		darala	
19139	dair		dair	
19140	shkeeo		shkeeo	
19141	s		s	
19142	sary		sary	
19143	okor		okor	
19144	ykarshy		ykarshy	
19145	lkaldy		lkaldy	
19146	okchod		okchod	
19147	qofchol		qofchol	
19148	ytor		ytor	
19149	ckhy		ckhy	
19150	lpychol		lpychol	
19151	sho		sho	
19152	ol		ol	
19153	okachey		okachey	
19154	s		s	
19155	sheom		sheom	
19156	keol		keol	
19157	dchy		dchy	
19158	dasady		dasady	
19159	tol		tol	
19160	otchol		otchol	
19161	shorydar		shorydar	
19162	qokeos		qokeos	
19163	okeoschso		okeoschso	
19164	chol		chol	
19165	ytod		ytod	
19166	qokeor		qokeor	
19167	dolshy		dolshy	
19168	dol		dol	
19169	chos		chos	
19170	qocthy		qocthy	
19171	qokcho		qokcho	
19172	shko		shko	
19173	qokol		qokol	
19174	oteey		oteey	
19175	chofy		chofy	
19176	ykeody		ykeody	
19177	qokod		qokod	
19178	kor		kor	
19179	sheol		sheol	
19180	qodar		qodar	
19181	oko		oko	
19182	ykeey		ykeey	
19183	qokeey		qokeey	
19184	qodar		qodar	
19185	qokeed		qokeed	
19186	s		s	
19187	choky		choky	
19188	soeeol		soeeol	
19189	qoteody		qoteody	
19190	s		s	
19191	cheey		cheey	
19192	chor		chor	
