position	mean_H	sd_H
lsh	Recipes	-0.836905
lsh	Astronomical	0.092659
lsh	Biological	0.000093
lsh	Unassigned	0.092659
l	Herbal	0.092659
l	Pharmaceutical	0.092659
l	Recipes	0.092659
l	Astronomical	0.092659
l	Biological	0.092659
l	Unassigned	0.092659
cheo	Herbal	0.092659
cheo	Pharmaceutical	0.092659
cheo	Recipes	0.092659
cheo	Astronomical	0.092659
cheo	Biological	0.092659
cheo	Unassigned	0.092659
op	Herbal	0.092659
op	Pharmaceutical	-0.014203
op	Recipes	0.171778
op	Astronomical	0.114164
op	Biological	-0.014203
op	Unassigned	0.092659
yka	Herbal	0.092659
yka	Pharmaceutical	0.092659
yka	Recipes	0.092659
yka	Astronomical	0.092659
yka	Biological	0.114110
yka	Unassigned	0.092659
os	Herbal	0.092659
os	Pharmaceutical	0.092659
os	Recipes	0.092659
os	Astronomical	0.092659
os	Biological	0.092659
os	Unassigned	0.092659
ko	Herbal	0.092659
ko	Pharmaceutical	0.092659
ko	Recipes	0.092659
ko	Astronomical	0.092659
ko	Biological	0.092659
ko	Unassigned	0.092659
sheo	Herbal	-0.162496
sheo	Pharmaceutical	-0.305652
sheo	Recipes	-0.305652
sheo	Astronomical	-0.305652
sheo	Biological	-0.305652
sheo	Unassigned	0.092659
chek	Herbal	-0.210953
chek	Pharmaceutical	-0.210953
chek	Recipes	-0.210953
chek	Astronomical	-0.161834
chek	Biological	-0.210953
chek	Unassigned	-0.178079
otch	Herbal	0.695782
otch	Pharmaceutical	0.294052
otch	Recipes	0.695782
otch	Astronomical	0.695782
otch	Biological	0.695782
otch	Unassigned	0.092659
ykch	Herbal	0.985171
ykch	Pharmaceutical	0.985171
ykch	Recipes	0.985171
ykch	Astronomical	0.516937
ykch	Biological	0.483441
ykch	Unassigned	0.092659
ykc	Herbal	0.985171
ykc	Pharmaceutical	0.985171
ykc	Recipes	0.985171
ykc	Astronomical	0.516937
ykc	Biological	0.483441
ykc	Unassigned	0.092659
ol	Herbal	0.092659
ol	Pharmaceutical	0.092659
ol	Recipes	0.092659
ol	Astronomical	0.092659
ol	Biological	0.092659
ol	Unassigned	0.092659
oto	Herbal	0.330989
oto	Pharmaceutical	0.284148
oto	Recipes	0.105514
oto	Astronomical	0.105514
