kind	pattern	pred_side	base_weight	allow_sections	deny_sections	w_Herbal	w_Pharm	w_Recipes	w_Astron	w_Biolog	w_Unasg	meta	examples
chargram	ytc	right	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": -2, ""total"": 2}"	ytch,ytche,ytc
prefix	ck	left	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": 2, ""total"": 2}"	ckh,ckhe
prefix	dc	left	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": 2, ""total"": 2}"	dche,dch,dc
prefix	kc	left	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": 2, ""total"": 2}"	kche,kch
prefix	ok	right	36.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": 0.128494, ""stdev_axis1"": 0.466784, ""support"": 36}"	okal,oks,oko,okee,okol,okch
prefix	yc	left	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": 2, ""total"": 2}"	yche,ych
prefix	yk	right	2.00		Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned	0.00	0.00	0.00	0.00	0.00	0.00	"{""L_minus_R"": -2, ""total"": 2}"	yka,ykch,ykc,yke,ykee,yk
prefix	yt	right	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": -2, ""total"": 2}"	ytch,yta,ytche,ytc,yte,yt
suffix	ct	right	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": -2, ""total"": 2}"	chct,shct
suffix	ke	left	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": 2, ""total"": 2}"	yke,qoke,olke,choke
chargram	dc	left	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": 2, ""total"": 2}"	dche,dch,dc
chargram	lc	right	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": -2, ""total"": 2}"	olc,olch,olche,lche,lc
chargram	ls	left	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": 2, ""total"": 2}"	ls,lsh,olshe,olsh
chargram	oe	left	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": 2, ""total"": 2}"	oe,oee,qoe,qoee
chargram	yc	left	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": 2, ""total"": 2}"	yche,ych
chargram	yk	right	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": -2, ""total"": 2}"	yka,ykch,ykc,yke,ykee,yk
chargram	yt	right	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""L_minus_R"": -2, ""total"": 2}"	ytch,yta,ytche,ytc,yte,yt
prefix	d	left	2.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned		0.88	0.95	0.88	0.88	0.95	0.95	"{""L_minus_R"": 2, ""total"": 2}"	daii,dal,dche,dar,do,dch,dc,dai
prefix	k	left	2.00	Biological,Herbal,Pharmaceutical,Recipes,Unassigned	Astronomical	0.71	0.57	0.86	0.00	0.71	0.57	"{""L_minus_R"": 2, ""total"": 2}"	kche,ko,kee,ksh,ks,kch,k
suffix	k	left	48.00	Astronomical,Biological,Herbal,Pharmaceutical,Recipes,Unassigned								"{""mean_axis1"": -0.092351, ""stdev_axis1"": 0.331889, ""support"": 48}"	chek,shk,chok,shek,olk,lk,qock,qok
