family	sim_latin	sim_arabic	delta	label
ee-ke-ok-oke-yk-ykc	0.05198	0.000589	0.051391	Latin-like
ee-ke-pc	0.05198	0.000589	0.051391	Latin-like
ee-oe-tc-tch	0.05198	0.000589	0.051391	Latin-like
ee-otc-tc-tch	0.05198	0.000589	0.051391	Latin-like
he-lc	0.05198	0.000589	0.051391	Latin-like
he-ls-lsh-ok-qok	0.05198	0.000589	0.051391	Latin-like
che-ct-ee-he	0.056098	0.005227	0.050871	Latin-like
ee-ke-ok-oke-yt	0.056098	0.005227	0.050871	Latin-like
ee-ke-oe-qoe	0.067318	0.017069	0.050249	Latin-like
ok-otc-tc-tch	0.065658	0.016418	0.049241	Latin-like
che-he-lc-ok-qok	0.050605	0.001613	0.048992	Latin-like
che-dc-dch-he-ok	0.077653	0.029193	0.04846	Latin-like
chc-hc-lc	0.064677	0.0164	0.048278	Latin-like
ct-lc-olc	0.064677	0.0164	0.048278	Latin-like
he-ls-lsh-ok	0.081986	0.033968	0.048018	Latin-like
ct-hc-hct-ls-lsh-shc	0.063158	0.016006	0.047151	Latin-like
che-dc-dch-he-pc	0.04877	0.002504	0.046266	Latin-like
ct-yc	0.113224	0.067448	0.045776	Latin-like
che-he-lc-ok-olc-qok	0.046602	0.001544	0.045058	Latin-like
che-ee-he-ke-oe	0.046996	0.002413	0.044583	Latin-like
he-oe	0.067736	0.02413	0.043606	Latin-like
ee-ke-ok-qok	0.044773	0.001483	0.04329	Latin-like
oe-pc	0.060935	0.01789	0.043045	Latin-like
dc-dch-yk	0.108695	0.067448	0.041247	Latin-like
ee-he-op	0.108695	0.067448	0.041247	Latin-like
ke-op-yk	0.108695	0.067448	0.041247	Latin-like
ok-op-qok	0.108695	0.067448	0.041247	Latin-like
yc-ych-yk	0.108695	0.067448	0.041247	Latin-like
yc-ych-yt	0.108695	0.067448	0.041247	Latin-like
che-ee-he-ok-qok	0.046607	0.005524	0.041083	Latin-like
ok-tc-tch	0.076111	0.035418	0.040693	Latin-like
ke-oe-qoe	0.062541	0.023171	0.03937	Latin-like
chc-ct-hc-hct-lc-olc	0.043703	0.004907	0.038797	Latin-like
che-he-yk	0.051017	0.012729	0.038288	Latin-like
che-he-ke-yk	0.048515	0.010389	0.038126	Latin-like
ee-he-ke-ok-oke	0.040322	0.003232	0.03709	Latin-like
che-he-ok-yc-ych	0.059308	0.022296	0.037012	Latin-like
che-he-op	0.076698	0.040692	0.036006	Latin-like
lc-ok-qok	0.036488	0.001515	0.034973	Latin-like
